numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4
07020;2,02204E+13;101820;-110;8;mq;mq;285.250000;275.650000;52;18000;3;2;mq;75;6;2500;30;27;10;101710;mq;mq;-120;mq;mq;mq;mq;mq;mq;mq;mq;mq;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;4;2500;mq;mq;mq;mq;mq;mq;mq;mq;mq
07027;2,02204E+13;101910;-150;8;110;5.800000;285.450000;274.750000;48;18500;0;mq;mq;mq;1;6120;mq;mq;mq;101100;mq;mq;20;mq;mq;mq;mq;277.250000;mq;mq;9.100000;9.100000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;6120;mq;mq;mq;mq;mq;mq;mq;mq;mq
07037;2,02204E+13;102040;-130;8;120;4.100000;284.250000;272.750000;45;35410;0;mq;mq;mq;0;mq;mq;mq;mq;100140;mq;mq;280;mq;mq;mq;mq;272.950000;mq;mq;8.000000;8.000000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07072;2,02204E+13;102190;-80;8;120;3.000000;284.650000;273.150000;45;20000;0;mq;mq;mq;0;mq;mq;mq;mq;101040;mq;mq;550;mq;mq;mq;mq;269.550000;mq;mq;5.600000;5.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;2.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07110;2,02204E+13;101450;-170;6;150;8.900000;286.050000;277.950000;58;24550;0;mq;mq;mq;4;5580;mq;mq;mq;100280;mq;mq;-570;mq;mq;mq;mq;271.750000;mq;mq;13.100000;15.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;mq;5580;mq;mq;mq;mq;mq;mq;mq;mq;mq
07130;2,02204E+13;101770;-160;6;150;5.800000;287.350000;275.850000;46;23560;0;mq;mq;mq;0;mq;mq;mq;mq;101330;mq;mq;-190;mq;mq;mq;mq;270.850000;mq;mq;13.000000;13.000000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07139;2,02204E+13;101920;-180;8;110;4.300000;285.750000;272.150000;39;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100180;mq;mq;100;mq;mq;mq;mq;279.350000;mq;mq;7.900000;7.900000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq
07149;2,02204E+13;102110;-120;8;180;3.600000;285.750000;274.150000;45;20000;1;0;0;50;1;1750;31;20;11;101020;mq;mq;330;mq;mq;mq;mq;mq;mq;mq;6.400000;6.400000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;1500;4;0;8000;mq;mq;mq;mq;mq;mq
07168;2,02204E+13;102200;-90;7;190;0.600000;284.450000;272.950000;45;19900;0;mq;mq;75;6;1750;mq;mq;mq;100770;mq;mq;490;mq;mq;mq;mq;270.750000;mq;mq;1.800000;5.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;1.400000;mq;mq;mq;mq;6;mq;1560;mq;mq;mq;mq;mq;mq;mq;mq;mq
07181;2,02204E+13;102230;-70;8;260;2.500000;282.650000;271.250000;45;19360;0;mq;mq;mq;4;1750;mq;mq;mq;98020;mq;mq;620;mq;mq;mq;mq;273.150000;mq;mq;4.900000;5.600000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;4;mq;1680;mq;mq;mq;mq;mq;mq;mq;mq;mq
